Match #,Date,Home Team,Away Team,Winner,Bonus Points
1,"March 28, 2026",Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,0
2,"March 29, 2026",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,0
3,"March 30, 2026",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,0
4,"March 31, 2026",Punjab Kings,Gujarat Titans,Punjab Kings,0
5,"April 1, 2026",Lucknow Super Giants,Delhi Capitals,Delhi Capitals,4
6,"April 2, 2026",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,4
7,"April 3, 2026",Chennai Super Kings,Punjab Kings,Punjab Kings,4
8,"April 4, 2026",Delhi Capitals,Mumbai Indians,Delhi Capitals,0
9,"April 4, 2026",Gujarat Titans,Rajasthan Royals,Rajasthan Royals,4
10,"April 5, 2026",Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,4
11,"April 6, 2026",Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,0
12,"April 6, 2026",Kolkata Knight Riders,Punjab Kings,NR,0
13,"April 7, 2026",Rajasthan Royals,Mumbai Indians,Rajasthan Royals,0
14,"April 8, 2026",Delhi Capitals,Gujarat Titans,Gujarat Titans,4
15,"April 9, 2026",Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,4
16,"April 10, 2026",Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,0
