Match #,Date,Home Team,Away Team,Winner,Bonus Points
1,"March 22, 2025",Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,4
2,"March 23, 2025",Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,0
3,"March 23, 2025",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,0
4,"March 24, 2025",Delhi Capitals,Lucknow Super Giants,Delhi Capitals,0
5,"March 25, 2025",Gujarat Titans,Punjab Kings,Punjab Kings,4
6,"March 26, 2025",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,4
7,"March 27, 2025",Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,4
8,"March 28, 2025",Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,4
9,"March 29, 2025",Gujarat Titans,Mumbai Indians,Gujarat Titans,0
10,"March 30, 2025",Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,0
11,"March 30, 2025",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,0
12,"March 31, 2025",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,0
13,"April 1, 2025",Lucknow Super Giants,Punjab Kings,Punjab Kings,4
14,"April 2, 2025",Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,4
15,"April 3, 2025",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,0
16,"April 4, 2025",Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,0
17,"April 5, 2025",Chennai Super Kings,Delhi Capitals,Delhi Capitals,4
18,"April 5, 2025",Punjab Kings,Rajasthan Royals,Rajasthan Royals,11
19,"April 6, 2025",Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,5
20,"April 6, 2025",Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,4
21,"April 7, 2025",Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,4
22,"April 8, 2025",Punjab Kings,Chennai Super Kings,,0
23,"April 9, 2025",Gujarat Titans,Rajasthan Royals,,0
24,"April 10, 2025",Royal Challengers Bengaluru,Delhi Capitals,,0
25,"April 11, 2025",Chennai Super Kings,Kolkata Knight Riders,,0
26,"April 12, 2025",Lucknow Super Giants,Gujarat Titans,,0
27,"April 12, 2025",Sunrisers Hyderabad,Punjab Kings,,0
28,"April 13, 2025",Rajasthan Royals,Royal Challengers Bengaluru,,0
29,"April 13, 2025",Delhi Capitals,Mumbai Indians,,0
30,"April 14, 2025",Lucknow Super Giants,Chennai Super Kings,,0
31,"April 15, 2025",Punjab Kings,Kolkata Knight Riders,,0
32,"April 16, 2025",Delhi Capitals,Rajasthan Royals,,0
33,"April 17, 2025",Mumbai Indians,Sunrisers Hyderabad,,0
34,"April 18, 2025",Royal Challengers Bengaluru,Punjab Kings,,0
35,"April 19, 2025",Gujarat Titans,Delhi Capitals,,0
36,"April 19, 2025",Rajasthan Royals,Lucknow Super Giants,,0
37,"April 20, 2025",Punjab Kings,Royal Challengers Bengaluru,,0
38,"April 20, 2025",Mumbai Indians,Chennai Super Kings,,0
39,"April 21, 2025",Kolkata Knight Riders,Gujarat Titans,,0
40,"April 22, 2025",Lucknow Super Giants,Delhi Capitals,,0
41,"April 23, 2025",Sunrisers Hyderabad,Mumbai Indians,,0
42,"April 24, 2025",Royal Challengers Bengaluru,Rajasthan Royals,,0
43,"April 25, 2025",Chennai Super Kings,Sunrisers Hyderabad,,0
44,"April 26, 2025",Kolkata Knight Riders,Punjab Kings,,0
45,"April 27, 2025",Mumbai Indians,Lucknow Super Giants,,0
46,"April 27, 2025",Delhi Capitals,Royal Challengers Bengaluru,,0
47,"April 28, 2025",Rajasthan Royals,Gujarat Titans,,0
48,"April 29, 2025",Delhi Capitals,Kolkata Knight Riders,,0
49,"April 30, 2025",Chennai Super Kings,Punjab Kings,,0
50,"May 1, 2025",Rajasthan Royals,Mumbai Indians,,0
51,"May 2, 2025",Gujarat Titans,Sunrisers Hyderabad,,0
52,"May 3, 2025",Royal Challengers Bengaluru,Chennai Super Kings,,0
53,"May 4, 2025",Kolkata Knight Riders,Rajasthan Royals,,0
54,"May 4, 2025",Punjab Kings,Lucknow Super Giants,,0
55,"May 5, 2025",Sunrisers Hyderabad,Delhi Capitals,,0
56,"May 6, 2025",Mumbai Indians,Gujarat Titans,,0
57,"May 7, 2025",Kolkata Knight Riders,Chennai Super Kings,,0
58,"May 8, 2025",Punjab Kings,Delhi Capitals,,0
59,"May 9, 2025",Lucknow Super Giants,Royal Challengers Bengaluru,,0
60,"May 10, 2025",Sunrisers Hyderabad,Kolkata Knight Riders,,0
61,"May 11, 2025",Punjab Kings,Mumbai Indians,,0
62,"May 11, 2025",Delhi Capitals,Gujarat Titans,,0
63,"May 12, 2025",Chennai Super Kings,Rajasthan Royals,,0
64,"May 13, 2025",Royal Challengers Bengaluru,Sunrisers Hyderabad,,0
65,"May 14, 2025",Gujarat Titans,Lucknow Super Giants,,0
66,"May 15, 2025",Mumbai Indians,Delhi Capitals,,0
67,"May 16, 2025",Rajasthan Royals,Punjab Kings,,0
68,"May 17, 2025",Royal Challengers Bengaluru,Kolkata Knight Riders,,0
69,"May 18, 2025",Gujarat Titans,Chennai Super Kings,,0
70,"May 18, 2025",Lucknow Super Giants,Sunrisers Hyderabad,,0
